perm	labels	n_tested_glmm	GLMM_sig	Fisher_sig	Wilcox_sig	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
1	dddddcdccccc	19021	107	424	0	0.46798608894124	0.567029637247888	7.10976478100249e-34	0	2.45
2	dddddccdcccc	19262	114	415	0	0.484484179941162	0.59129318550662	8.6447898052278e-14	0	2.43
3	dddddcccdccc	19259	129	410	0	0.486448179791394	0.591109106472462	9.3835922546041e-12	0	2.26
4	dddddccccdcc	19543	92	360	0	0.483653759979014	0.593027805288434	2.24829618860238e-20	0	2.17
5	dddddcccccdc	19255	85	388	0	0.481379277214117	0.580644447193352	9.1662102804387e-23	0	2.37
6	dddddccccccd	19115	105	367	0	0.478129655006576	0.581729908232486	1.13460219765866e-26	0	2.57
7	ddddcddccccc	19029	136	403	0	0.468388317867576	0.565902326506343	8.50744309971805e-27	0	2.54
8	ddddcdcdcccc	19316	110	415	0	0.479977166904626	0.586818641419248	2.75562536086603e-16	0	2.22
9	ddddcdccdccc	19288	124	441	0	0.483899827725957	0.590951805163297	4.25265751241001e-14	0	2.68
10	ddddcdcccdcc	19578	106	363	0	0.478240387700501	0.584277007329196	1.79716281666339e-19	0	2.67
11	ddddcdccccdc	19242	108	397	0	0.475979655167766	0.577881329964231	1.88305675861148e-23	0	2.37
12	ddddcdcccccd	19039	132	371	0	0.475701650816986	0.577764156201984	3.36001926864544e-30	0	2.2
13	ddddccddcccc	19278	107	417	0	0.468414489147145	0.574868963461508	3.34394788833884e-29	0	2.52
14	ddddccdcdccc	19385	99	423	0	0.480001030412865	0.584951096926496	5.34867312194573e-17	0	2.3
15	ddddccdccdcc	19646	75	340	0	0.484347434667139	0.588749548935638	1.70715815179716e-08	0	2.97
16	ddddccdcccdc	19483	84	340	0	0.479708254114104	0.582867471368714	5.14460926725094e-17	0	2.31
17	ddddccdccccd	19404	91	332	0	0.478112441263659	0.579824383583135	5.7703275114411e-20	0	2.6
18	ddddcccddccc	19456	121	442	2	0.487688554721448	0.593590297424455	4.74783364933409e-13	0	2.64
19	ddddcccdcdcc	19769	76	344	0	0.491987141769996	0.602234243743678	6.63759280394867e-07	0	2.63
20	ddddcccdccdc	19613	73	324	0	0.485095643390163	0.595889970445849	2.38798293535888e-09	0	2.71
21	ddddcccdcccd	19603	73	333	0	0.489821680682751	0.599851540186148	2.23517219424786e-10	0	2.76
22	ddddccccddcc	19707	93	345	0	0.486764804748313	0.598755270918679	4.33763217371591e-09	0	2.81
23	ddddccccdcdc	19567	82	346	0	0.486413731535526	0.596667835166472	3.28223832984296e-10	0	2.65
24	ddddccccdccd	19530	86	339	0	0.490174997764024	0.598613602206295	2.35710144852809e-11	0	2.62
25	ddddcccccddc	19696	138	510	0	0.456069737448925	0.572407947782734	1.5751830520752e-58	0	2.62
26	ddddcccccdcd	19630	127	464	0	0.466431672783479	0.575219842796999	1.56041562354322e-38	0	2.82
27	ddddccccccdd	19439	120	464	0	0.464717071750579	0.577486004686917	1.89139937164634e-50	0	3.06
28	dddcdddccccc	19059	144	491	0	0.463109385688647	0.566161533641057	3.33598416933886e-34	0	2.51
29	dddcddcdcccc	19282	129	471	0	0.478049568607038	0.586856689791011	3.38240228354289e-21	0	2.56
30	dddcddccdccc	19283	135	470	0	0.477077030505081	0.584893568066413	1.59540682385503e-19	0	2.57
31	dddcddcccdcc	19605	95	363	0	0.481193019566032	0.591328958736253	1.75012097141881e-14	0	2.7
32	dddcddccccdc	19301	109	367	0	0.483473597098401	0.582112375462209	1.72215554815244e-13	0	2.59
33	dddcddcccccd	19205	109	363	0	0.479147761410024	0.58345188431054	1.28632828553022e-24	0	2.57
34	dddcdcddcccc	19182	128	424	0	0.468062439343379	0.573561672012545	2.38747933576813e-32	0	2.54
35	dddcdcdcdccc	19330	135	415	0	0.477791241104673	0.579251012913088	2.06084024819461e-20	0	2.57
36	dddcdcdccdcc	19660	71	299	0	0.494428752812624	0.601518026565465	2.99843147629952e-05	0	2.62
37	dddcdcdcccdc	19500	77	307	0	0.493627397112694	0.589760704784503	9.95832750337196e-08	0	2.64
38	dddcdcdccccd	19430	86	333	0	0.485726337915543	0.586538461538462	1.52283505432291e-13	0	2.55
39	dddcdccddccc	19344	152	452	0	0.485405053100068	0.590387883742443	1.54134964389794e-15	0	2.74
40	dddcdccdcdcc	19743	76	277	0	0.504720563183347	0.612442633127316	0.000149778162239142	0	2.83
41	dddcdccdccdc	19576	72	286	0	0.499068277053509	0.601465201465202	0.0016394324013968	0	3.37
42	dddcdccdcccd	19624	73	310	0	0.497671149942408	0.602233392299041	0.000392569516377408	0	3.62
43	dddcdcccddcc	19704	85	315	0	0.5004384684994	0.605910804108764	1.22376943257042e-05	0	3.8
44	dddcdcccdcdc	19569	75	324	0	0.497547656652081	0.599103815401768	0.000348676252497333	0	3.42
45	dddcdcccdccd	19602	97	355	0	0.498661643290407	0.60202190276526	1.24792727061695e-06	0	4.09
46	dddcdccccddc	19700	91	375	0	0.479367068488096	0.590557351356646	7.12253792639758e-24	0	3.78
47	dddcdccccdcd	19666	108	380	0	0.484513065560399	0.594129006115266	1.00510791603678e-18	0	4.19
48	dddcdcccccdd	19493	99	364	0	0.481905930427791	0.589774363041994	2.50851657490394e-17	0	3.56
49	dddccdddcccc	19313	81	416	0	0.468024044812475	0.575416064842428	3.29324492748763e-28	0	3.4
50	dddccddcdccc	19405	96	426	0	0.478109758425265	0.583110885630105	5.39067675869398e-19	0	3.68
51	dddccddccdcc	19716	68	304	0	0.49218021435093	0.599420489646988	0.000331878073712119	0	3.85
52	dddccddcccdc	19535	75	319	0	0.495123727918236	0.593947663115184	8.47152069973944e-06	0	3.33
53	dddccddccccd	19457	72	310	0	0.490109635217145	0.589708807776332	3.79944447502547e-13	0	3.08
54	dddccdcddccc	19474	125	455	1	0.480110428632561	0.590086040554429	3.24214577959204e-18	0	3.62
55	dddccdcdcdcc	19781	62	301	0	0.496963359053543	0.608047703436701	1.04186408479686e-05	0	3.63
56	dddccdcdccdc	19647	66	322	0	0.493778593359372	0.601453185800472	0.00205435397551776	0	3.75
57	dddccdcdcccd	19653	54	303	0	0.492512769075218	0.601018189937405	4.37141291270978e-06	0	3.97
58	dddccdccddcc	19755	79	333	0	0.491444638016921	0.601463571652671	3.59145527880612e-05	0	3.66
59	dddccdccdcdc	19605	74	341	0	0.493326230904726	0.601146261625773	1.24742349138053e-05	0	3.25
60	dddccdccdccd	19598	100	351	0	0.495850344683007	0.60193617341626	3.24389372421058e-08	0	3.74
61	dddccdcccddc	19719	95	442	0	0.474823696988577	0.586122862031089	4.98919804862039e-25	0	2.66
