arm	null	labels	GLMM_sites	Fisher_sites	GLMM_genes	Fisher_genes	both_genes	gene_universe	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher
siADAR2	0	TRUE:RRRCCC	5	0	4	0	0	467	2030	0.46854930012511	0.607610993657505	0.00458455964005301	1.11253693019608e-308
siADAR2	1	CCRCRR	4	2	4	2	1	467	2030	0.441950331764291	0.594737358338661	3.2407129570103e-08	1.14837264230374e-308
siADAR2	2	CCRRCR	0	0	0	0	0	467	2031	0.455381159597614	0.607545909216281	8.10009305095024e-06	0
siADAR2	3	CCRRRC	1	0	1	0	0	467	2031	0.488218223136351	0.591822028858098	0.054361596851155	5.86649529988233e-271
siADAR2	4	CRCCRR	12	5	7	4	2	467	2031	0.423058184509733	0.600671694954897	1.23094592127728e-14	0
siADAR2	5	CRCRCR	1	1	1	1	1	467	2031	0.469236422860312	0.607131187388924	2.72967706352177e-07	0
siADAR2	6	CRCRRC	6	11	5	10	4	467	2031	0.381550729176515	0.60146194184014	3.98809585848698e-28	0
siADAR2	7	CRRCCR	8	6	8	6	5	467	2031	0.4413015846209	0.601287377692812	2.30433410820852e-08	0
siADAR2	8	CRRCRC	6	6	4	6	3	467	2031	0.451756207968472	0.62219264339935	9.02393242715824e-07	0
siADAR2	9	CRRRCC	5	0	6	0	0	467	2031	0.463477207086389	0.62406015037594	4.70434438131276e-05	0
