perm	control_libs	n_compartments	GLMM_sig	Fisher_sig	Wilcox_sig	n_tested_glmm	med_p_glmm	med_p_fisher	ks_glmm	ks_fisher	mins
1	CEC1|CEC2|CEC5	1	845	3961	0	16852	0.377719731224499	0.190853242631596	1.41059851646679e-281	0	2.98
2	CEC1|CEC2|GEC1	2	717	3149	0	16587	0.379840915686155	0.231338298028598	8.89342468648495e-248	0	2.85
3	CEC1|CEC2|GEC2	2	738	3310	0	16158	0.380864291965365	0.222059796237296	1.15633124433174e-260	0	2.87
4	CEC1|CEC2|GEC3	2	701	3164	0	16190	0.383886621379687	0.223135592004079	5.80625084431603e-246	0	2.81
5	CEC1|CEC2|GEC4	2	664	3119	0	16292	0.387569489034365	0.225309459420083	2.655225092529e-237	0	2.81
6	CEC1|CEC2|GEC5	2	740	3254	0	16474	0.383337943075294	0.220392835985827	2.14207719065299e-253	0	2.83
7	CEC1|CEC2|MEC1	2	803	3813	0	17733	0.375282386040827	0.208953715638207	0	0	3.11
8	CEC1|CEC2|MEC2	2	905	3564	0	16776	0.370353572130622	0.212614371746248	4.87129204821546e-300	0	3.03
9	CEC1|CEC2|MEC3	2	807	3472	0	16602	0.372852603226344	0.217852550685649	1.95579942967767e-272	0	2.3
10	CEC1|CEC2|MEC4	2	781	3410	0	16781	0.37536483955519	0.215453095893299	1.04075948835064e-294	0	2.98
11	CEC1|CEC2|MEC5	2	739	3307	0	16805	0.381836752497022	0.223730937322837	2.02644255528691e-252	0	3.09
12	CEC1|CEC5|GEC1	2	739	3292	0	16985	0.380139008823667	0.224390024516026	1.77137158515012e-250	0	3
13	CEC1|CEC5|GEC2	2	728	3391	0	16590	0.379645741594054	0.214435171851055	1.92438758507998e-263	0	2.98
14	CEC1|CEC5|GEC3	2	720	3236	0	16679	0.379496359079395	0.216318409117103	1.62271267003871e-248	0	2.99
15	CEC1|CEC5|GEC4	2	704	3290	0	16716	0.385653400934006	0.216043574136476	1.43351720813328e-232	0	2.98
16	CEC1|CEC5|GEC5	2	778	3436	0	16816	0.37582497451505	0.213779605765205	1.54331358236167e-278	0	3.09
17	CEC1|CEC5|MEC1	2	930	3909	0	17745	0.370071920819925	0.202845863502108	0	0	3.2
18	CEC1|CEC5|MEC2	2	826	3523	0	17044	0.374466902959853	0.214618736790842	7.42186867747848e-287	0	2.99
19	CEC1|CEC5|MEC3	2	830	3522	0	16914	0.372183147865203	0.214297267956396	1.6313684145667e-285	0	3
20	CEC1|CEC5|MEC4	2	759	3462	0	17079	0.378668322219944	0.20960505598049	6.37451071168121e-288	0	3.76
