sigma	npc	test	FD	TD	fdp	fdp_lo	fdp_hi
0	3	GLMM	1.33333333333333	66.6666666666667	0.0205586942875078	0	0.0338983050847458
0	6	GLMM	8.66666666666667	144.666666666667	0.0555207436927867	0.027972027972028	0.0740740740740741
0	10	GLMM	8	195.333333333333	0.0387639489170513	0.0294117647058824	0.0547945205479452
0.1	3	GLMM	4	63.6666666666667	0.0572751322751323	0.0357142857142857	0.0694444444444445
0.1	6	GLMM	3.33333333333333	140.666666666667	0.0232370548034634	0.0136986301369863	0.0289855072463768
0.1	10	GLMM	9	200.666666666667	0.0426216180750543	0.0245098039215686	0.055045871559633
0.25	3	GLMM	6.33333333333333	64	0.0917366946778711	0.0823529411764706	0.107142857142857
0.25	6	GLMM	10	134.333333333333	0.0692207139265963	0.06	0.0784313725490196
0.25	10	GLMM	20	188.333333333333	0.0950326943477629	0.0656565656565657	0.123287671232877
0.5	3	GLMM	11.3333333333333	48.6666666666667	0.187897827214861	0.107142857142857	0.245283018867925
0.5	6	GLMM	24.6666666666667	109.666666666667	0.183847534285582	0.163120567375887	0.205882352941176
0.5	10	GLMM	29.3333333333333	151.666666666667	0.16186785884266	0.140243902439024	0.198895027624309
1	3	GLMM	31.6666666666667	41.3333333333333	0.428172782456025	0.379310344827586	0.457446808510638
1	6	GLMM	28.3333333333333	45	0.385451798495277	0.347826086956522	0.418918918918919
1	10	GLMM	18.3333333333333	67.3333333333333	0.210222053038954	0.183098591549296	0.234234234234234
0	3	Fisher	1.66666666666667	82.6666666666667	0.0205724508050089	0	0.0384615384615385
0	6	Fisher	6.33333333333333	151	0.0399156913032062	0.0263157894736842	0.0552147239263804
0	10	Fisher	5.33333333333333	197.666666666667	0.0256487613252575	0.0159574468085106	0.0412844036697248
0.1	3	Fisher	2	80.6666666666667	0.0243471432535676	0.0117647058823529	0.0365853658536585
0.1	6	Fisher	2.66666666666667	148.333333333333	0.0177946289355685	0.00649350649350649	0.0335570469798658
0.1	10	Fisher	6.66666666666667	207	0.0311485335805736	0.0239234449760766	0.0375586854460094
0.25	3	Fisher	3.66666666666667	82	0.0414100750734414	0.0307692307692308	0.0495049504950495
0.25	6	Fisher	7.33333333333333	151.333333333333	0.0459112010295358	0.037037037037037	0.0598802395209581
0.25	10	Fisher	14.6666666666667	201.666666666667	0.0677475063625298	0.0516431924882629	0.087962962962963
0.5	3	Fisher	24.6666666666667	87.6666666666667	0.219364508734308	0.177570093457944	0.254716981132076
0.5	6	Fisher	34.6666666666667	155.666666666667	0.18152452753902	0.157608695652174	0.207070707070707
0.5	10	Fisher	41	193.666666666667	0.174833413938658	0.169354838709677	0.180257510729614
1	3	Fisher	157.666666666667	122.333333333333	0.56313737008075	0.557768924302789	0.57089552238806
1	6	Fisher	200.666666666667	171.666666666667	0.538951257364916	0.534031413612565	0.548387096774194
1	10	Fisher	230	201.333333333333	0.532687886337189	0.509708737864078	0.553047404063205
0	3	Wilcox	0	0		Inf	-Inf
0	6	Wilcox	0	0		Inf	-Inf
0	10	Wilcox	5.33333333333333	158	0.0311623754073767	0.0136986301369863	0.0552486187845304
0.1	3	Wilcox	0	0		Inf	-Inf
0.1	6	Wilcox	0	0		Inf	-Inf
0.1	10	Wilcox	4	157	0.0246732026143791	0.0196078431372549	0.0294117647058824
0.25	3	Wilcox	0	0		Inf	-Inf
0.25	6	Wilcox	0	0		Inf	-Inf
0.25	10	Wilcox	2.66666666666667	135	0.0195727413772527	0.0075187969924812	0.037593984962406
0.5	3	Wilcox	0	0		Inf	-Inf
0.5	6	Wilcox	0	0		Inf	-Inf
0.5	10	Wilcox	1	80.3333333333333	0.013052675024506	0	0.028169014084507
1	3	Wilcox	0	0		Inf	-Inf
1	6	Wilcox	0	0		Inf	-Inf
1	10	Wilcox	0	0		Inf	-Inf
