sigma	npc	rep	test	n_sites	converged	fpr	power_all	power_05	power_10	power_20
0	3	1	GLMM	1100	1	0	0.243333333333333	0.02	0.12	0.59
0	3	1	Fisher	1100	1	0.0025	0.28	0.03	0.15	0.66
0	3	1	Wilcox	1100	1	0	0	0	0	0
0	3	2	GLMM	1100	1	0.0025	0.233333333333333	0.02	0.13	0.55
0	3	2	Fisher	1100	1	0	0.296666666666667	0.04	0.16	0.69
0	3	2	Wilcox	1100	1	0	0	0	0	0
0	3	3	GLMM	1100	1	0.0025	0.19	0.01	0.06	0.5
0	3	3	Fisher	1100	1	0.00375	0.25	0.03	0.12	0.6
0	3	3	Wilcox	1100	1	0	0	0	0	0
0	6	1	GLMM	1100	1	0.0125	0.483333333333333	0.09	0.43	0.93
0	6	1	Fisher	1100	1	0.0075	0.503333333333333	0.11	0.45	0.95
0	6	1	Wilcox	1100	1	0	0	0	0	0
0	6	2	GLMM	1100	1	0.015	0.5	0.08	0.44	0.98
0	6	2	Fisher	1100	1	0.01125	0.513333333333333	0.09	0.46	0.99
0	6	2	Wilcox	1100	1	0	0	0	0	0
0	6	3	GLMM	1100	1	0.005	0.463333333333333	0.05	0.39	0.95
0	6	3	Fisher	1100	1	0.005	0.493333333333333	0.05	0.45	0.98
0	6	3	Wilcox	1100	1	0	0	0	0	0
0	10	1	GLMM	1100	1	0.0075	0.603333333333333	0.12	0.69	1
0	10	1	Fisher	1100	1	0.00375	0.616666666666667	0.13	0.72	1
0	10	1	Wilcox	1100	1	0.0025	0.48	0.08	0.37	0.99
0	10	2	GLMM	1100	1	0.015	0.69	0.26	0.81	1
0	10	2	Fisher	1100	1	0.01125	0.696666666666667	0.29	0.8	1
0	10	2	Wilcox	1100	1	0.0125	0.57	0.12	0.6	0.99
0	10	3	GLMM	1100	1	0.0075	0.66	0.24	0.74	1
0	10	3	Fisher	1100	1	0.005	0.663333333333333	0.26	0.73	1
0	10	3	Wilcox	1100	1	0.005	0.53	0.14	0.49	0.96
0.1	3	1	GLMM	1100	1	0.0025	0.18	0.04	0.06	0.44
0.1	3	1	Fisher	1100	1	0.0025	0.263333333333333	0.03	0.18	0.58
0.1	3	1	Wilcox	1100	1	0	0	0	0	0
0.1	3	2	GLMM	1100	1	0.00625	0.233333333333333	0	0.08	0.62
0.1	3	2	Fisher	1100	1	0.00375	0.263333333333333	0.01	0.12	0.66
0.1	3	2	Wilcox	1100	1	0	0	0	0	0
0.1	3	3	GLMM	1100	1	0.00625	0.223333333333333	0.02	0.11	0.54
0.1	3	3	Fisher	1100	1	0.00125	0.28	0.04	0.15	0.65
0.1	3	3	Wilcox	1100	1	0	0	0	0	0
0.1	6	1	GLMM	1100	1	0.0025	0.48	0.06	0.42	0.96
0.1	6	1	Fisher	1100	1	0.0025	0.493333333333333	0.06	0.44	0.98
0.1	6	1	Wilcox	1100	1	0	0	0	0	0
0.1	6	2	GLMM	1100	1	0.005	0.446666666666667	0.09	0.3	0.95
0.1	6	2	Fisher	1100	1	0.00625	0.48	0.11	0.36	0.97
0.1	6	2	Wilcox	1100	1	0	0	0	0	0
0.1	6	3	GLMM	1100	1	0.005	0.48	0.07	0.44	0.93
0.1	6	3	Fisher	1100	1	0.00125	0.51	0.08	0.47	0.98
0.1	6	3	Wilcox	1100	1	0	0	0	0	0
0.1	10	1	GLMM	1100	1	0.015	0.686666666666667	0.28	0.78	1
0.1	10	1	Fisher	1100	1	0.00875	0.706666666666667	0.3	0.82	1
0.1	10	1	Wilcox	1100	1	0.00375	0.5	0.1	0.4	1
0.1	10	2	GLMM	1100	1	0.0125	0.656666666666667	0.2	0.77	1
0.1	10	2	Fisher	1100	1	0.00625	0.68	0.21	0.83	1
0.1	10	2	Wilcox	1100	1	0.00625	0.55	0.11	0.58	0.96
0.1	10	3	GLMM	1100	1	0.00625	0.663333333333333	0.21	0.78	1
0.1	10	3	Fisher	1100	1	0.01	0.683333333333333	0.26	0.79	1
0.1	10	3	Wilcox	1100	1	0.005	0.52	0.09	0.52	0.95
0.25	3	1	GLMM	1100	1	0.00875	0.26	0.04	0.16	0.58
0.25	3	1	Fisher	1100	1	0.00625	0.32	0.08	0.22	0.66
0.25	3	1	Wilcox	1100	1	0	0	0	0	0
0.25	3	2	GLMM	1100	1	0.0075	0.166666666666667	0	0.05	0.45
0.25	3	2	Fisher	1100	1	0.0025	0.21	0.02	0.09	0.52
0.25	3	2	Wilcox	1100	1	0	0	0	0	0
0.25	3	3	GLMM	1100	1	0.0075	0.213333333333333	0.05	0.09	0.5
