sigma	mode	rep	test	coherent_offset	fpr	power_10
0	per-site	1	GLMM	0.00180382608358187	0.00625	0.5
0	per-site	1	Fisher	0.00180382608358187	0.005	0.51
0	per-site	1	Wilcox	0.00180382608358187	0	0
0	per-site	2	GLMM	0.00205468459081358	0.00625	0.43
0	per-site	2	Fisher	0.00205468459081358	0.005	0.44
0	per-site	2	Wilcox	0.00205468459081358	0	0
0	per-site	3	GLMM	0.00136653080678589	0.00375	0.35
0	per-site	3	Fisher	0.00136653080678589	0.0025	0.41
0	per-site	3	Wilcox	0.00136653080678589	0	0
0	shared	1	GLMM	0.00195406740063884	0.0125	0.34
0	shared	1	Fisher	0.00195406740063884	0.00625	0.35
0	shared	1	Wilcox	0.00195406740063884	0	0
0	shared	2	GLMM	0.00133159960001981	0.005	0.35
0	shared	2	Fisher	0.00133159960001981	0.00375	0.35
0	shared	2	Wilcox	0.00133159960001981	0	0
0	shared	3	GLMM	0.00216067974974416	0.00625	0.34
0	shared	3	Fisher	0.00216067974974416	0.00375	0.41
0	shared	3	Wilcox	0.00216067974974416	0	0
0.1	per-site	1	GLMM	0.00234950156313007	0.00875	0.43
0.1	per-site	1	Fisher	0.00234950156313007	0.00875	0.46
0.1	per-site	1	Wilcox	0.00234950156313007	0	0
0.1	per-site	2	GLMM	0.00210077738405035	0.01625	0.39
0.1	per-site	2	Fisher	0.00210077738405035	0.01375	0.45
0.1	per-site	2	Wilcox	0.00210077738405035	0	0
0.1	per-site	3	GLMM	0.00153364758307676	0.01	0.39
0.1	per-site	3	Fisher	0.00153364758307676	0.005	0.45
0.1	per-site	3	Wilcox	0.00153364758307676	0	0
0.1	shared	1	GLMM	0.0128588888773257	0.01125	0.33
0.1	shared	1	Fisher	0.0128588888773257	0.0075	0.36
0.1	shared	1	Wilcox	0.0128588888773257	0	0
0.1	shared	2	GLMM	0.00963705808061365	0.015	0.49
0.1	shared	2	Fisher	0.00963705808061365	0.0075	0.46
0.1	shared	2	Wilcox	0.00963705808061365	0	0
0.1	shared	3	GLMM	0.00940759103342888	0.01	0.38
0.1	shared	3	Fisher	0.00940759103342888	0.00625	0.41
0.1	shared	3	Wilcox	0.00940759103342888	0	0
0.25	per-site	1	GLMM	0.00239395842768702	0.01125	0.38
0.25	per-site	1	Fisher	0.00239395842768702	0.0075	0.49
0.25	per-site	1	Wilcox	0.00239395842768702	0	0
0.25	per-site	2	GLMM	0.00247797356932154	0.0175	0.48
0.25	per-site	2	Fisher	0.00247797356932154	0.0125	0.52
0.25	per-site	2	Wilcox	0.00247797356932154	0	0
0.25	per-site	3	GLMM	0.00231017631451731	0.00875	0.31
0.25	per-site	3	Fisher	0.00231017631451731	0.00625	0.37
0.25	per-site	3	Wilcox	0.00231017631451731	0	0
0.25	shared	1	GLMM	0.023038401276735	0.01875	0.66
0.25	shared	1	Fisher	0.023038401276735	0.01875	0.73
0.25	shared	1	Wilcox	0.023038401276735	0	0
0.25	shared	2	GLMM	0.0251440316781628	0.0125	0.52
0.25	shared	2	Fisher	0.0251440316781628	0.01	0.64
0.25	shared	2	Wilcox	0.0251440316781628	0	0
0.25	shared	3	GLMM	0.0278005765494039	0.01625	0.25
0.25	shared	3	Fisher	0.0278005765494039	0.01	0.33
0.25	shared	3	Wilcox	0.0278005765494039	0	0
0.5	per-site	1	GLMM	0.00241826292455724	0.03125	0.25
0.5	per-site	1	Fisher	0.00241826292455724	0.03125	0.44
0.5	per-site	1	Wilcox	0.00241826292455724	0	0
0.5	per-site	2	GLMM	0.00249011332557424	0.03375	0.28
0.5	per-site	2	Fisher	0.00249011332557424	0.0475	0.5
0.5	per-site	2	Wilcox	0.00249011332557424	0	0
0.5	per-site	3	GLMM	0.00325156302653547	0.0325	0.32
0.5	per-site	3	Fisher	0.00325156302653547	0.0475	0.49
0.5	per-site	3	Wilcox	0.00325156302653547	0	0
0.5	shared	1	GLMM	0.0446815047016982	0.0175	0.54
0.5	shared	1	Fisher	0.0446815047016982	0.02125	0.71
0.5	shared	1	Wilcox	0.0446815047016982	0	0
0.5	shared	2	GLMM	0.0713212630945337	0.06	0.05
0.5	shared	2	Fisher	0.0713212630945337	0.03625	0.14
0.5	shared	2	Wilcox	0.0713212630945337	0	0
0.5	shared	3	GLMM	0.0416408240876505	0.01375	0.06
0.5	shared	3	Fisher	0.0416408240876505	0.00625	0.2
0.5	shared	3	Wilcox	0.0416408240876505	0	0
